"date	ouv	haut	bas	clot	vol	devise"
"23/01/2006 00:00	4725	4754.78	4719.33	4751.99	4835	Pts"
"24/01/2006 00:00	4758.93	4766.52	4739.76	4748.32	4605	Pts"
"25/01/2006 00:00	4766.61	4794.22	4758.06	4791	4901	Pts"
"26/01/2006 00:00	4801.84	4876.52	4800.21	4876.52	6541	Pts"
"27/01/2006 00:00	4938.77	4956.6	4907.48	4956.6	7770	Pts"
"30/01/2006 00:00	4945.83	4954.96	4934.62	4936.79	4651	Pts"
"31/01/2006 00:00	4943.46	4970.21	4930.18	4947.99	5120	Pts"
"01/02/2006 00:00	4946.77	5000	4936.59	4999.39	4895	Pts"
"02/02/2006 00:00	5000.95	5012.38	4927.89	4927.89	5294	Pts"
"03/02/2006 00:00	4945.38	4955.94	4905.63	4937.56	4726	Pts"
"06/02/2006 00:00	4949.84	4960.67	4919.9	4934.59	4029	Pts"
"07/02/2006 00:00	4951.99	4958.51	4906.36	4935.4	5281	Pts"
"08/02/2006 00:00	4893.15	4909.68	4875.8	4895.08	4847	Pts"
"09/02/2006 00:00	4925.71	4958.79	4921.6	4955.74	5143	Pts"
"10/02/2006 00:00	4940.05	4963.69	4910.82	4910.82	4276	Pts"
"13/02/2006 00:00	4916.36	4957.36	4898.96	4957.36	4534	Pts"
"14/02/2006 00:00	4964.57	4975.41	4928.11	4961.34	4927	Pts"
"15/02/2006 00:00	4957.12	4958.31	4922.81	4934.09	4868	Pts"
"16/02/2006 00:00	4959.7	4973.89	4938.37	4973.09	4191	Pts"
"17/02/2006 00:00	4975.73	5003.39	4965.57	5000	4381	Pts"
"20/02/2006 00:00	4981.31	4985.66	4971.25	4979.94	2892	Pts"
"21/02/2006 00:00	4997.94	5024.51	4974.51	4991.93	4937	Pts"
"22/02/2006 00:00	4984.97	5041.6	4984.12	5041.6	5096	Pts"
"23/02/2006 00:00	5051.77	5060.27	5020.04	5040.39	6293	Pts"
"24/02/2006 00:00	5051.63	5073.95	5036.17	5073.95	4394	Pts"
"27/02/2006 00:00	5082.13	5085.2	5058.09	5080.52	5369	Pts"
"28/02/2006 00:00	5084.62	5082.91	5001.9	5000.45	6091	Pts"
"01/03/2006 00:00	5008.71	5059.03	5006	5057.61	5110	Pts"
"02/03/2006 00:00	5069.76	5077.58	4990.48	5009.09	5789	Pts"
"03/03/2006 00:00	5012.94	5030.36	4966.71	4989.15	5376	Pts"
"06/03/2006 00:00	5025.72	5037.05	5010.72	5010.72	5304	Pts"
"07/03/2006 00:00	4989.93	4996.69	4968.72	4992.21	5505	Pts"
"08/03/2006 00:00	5000.99	5005.88	4927.59	4969.51	6661	Pts"
"09/03/2006 00:00	5007.96	5012.42	4981.05	5007.84	5741	Pts"
"10/03/2006 00:00	4993.91	5069.27	4986.92	5069.27	5211	Pts"
"13/03/2006 00:00	5094.23	5112.7	5085.74	5107.47	4538	Pts"
"14/03/2006 00:00	5095.24	5117.16	5088.12	5117.16	4525	Pts"
"15/03/2006 00:00	5131.04	5141.55	5119.61	5127.93	5289	Pts"
"16/03/2006 00:00	5130.54	5136.64	5105.62	5126.01	4516	Pts"
"17/03/2006 00:00	5133.09	5171.38	5124.75	5141.08	6947	Pts"
"20/03/2006 00:00	5161.21	5174.14	5131.31	5138.51	4273	Pts"
"21/03/2006 00:00	5136.92	5148.56	5098.38	5148.56	4895	Pts"
"22/03/2006 00:00	5142.47	5201.28	5132.95	5194.78	7755	Pts"
"23/03/2006 00:00	5204.68	5205.61	5179.66	5194.78	5026	Pts"
"24/03/2006 00:00	5198.27	5226.37	5194.2	5218.71	4812	Pts"
"27/03/2006 00:00	5212.39	5218.85	5162.07	5162.44	3717	Pts"
"28/03/2006 00:00	5170.97	5189.94	5134.34	5149.99	4530	Pts"
"29/03/2006 00:00	5144.12	5189.62	5143.66	5180.25	3834	Pts"
"30/03/2006 00:00	5204.91	5246.74	5203.36	5240.1	4856	Pts"
"31/03/2006 00:00	5227.05	5247.31	5211.07	5220.85	4814	Pts"
"03/04/2006 00:00	5251.56	5258.51	5231.1	5255.26	4689	Pts"
"04/04/2006 00:00	5241.71	5241.71	5203.91	5205.81	4636	Pts"
"05/04/2006 00:00	5214.44	5230.87	5187.33	5221.03	5026	Pts"
"06/04/2006 00:00	5232.41	5245.56	5200.46	5222.36	4931	Pts"
"07/04/2006 00:00	5221.84	5241	5174.96	5174.96	5532	Pts"
"10/04/2006 00:00	5170.05	5190.87	5155.83	5190.27	3732	Pts"
"11/04/2006 00:00	5189.19	5197.41	5106.18	5112.6	5475	Pts"
"12/04/2006 00:00	5106.48	5110.8	5058.35	5085.11	5373	Pts"
"13/04/2006 00:00	5097.78	5109.61	5069.47	5102.62	3673	Pts"
"18/04/2006 00:00	5097.56	5101.93	5073.51	5095.97	3581	Pts"
"19/04/2006 00:00	5150.39	5172.59	5125.57	5158.14	4126	Pts"
"20/04/2006 00:00	5158.24	5227.13	5158.24	5206.79	4804	Pts"
"21/04/2006 00:00	5223.83	5252.38	5221.56	5252.38	3833	Pts"
"24/04/2006 00:00	5227.7	5239.38	5219.27	5221.44	3559	Pts"
"25/04/2006 00:00	5238.64	5255.15	5227.94	5235.34	4625	Pts"
"26/04/2006 00:00	5244.47	5261.6	5241.99	5252.32	4407	Pts"
"27/04/2006 00:00	5257.76	5257.76	5169.98	5213.55	6270	Pts"
"28/04/2006 00:00	5211.14	5219.07	5184.27	5188.4	4941	Pts"
"02/05/2006 00:00	5187.34	5249.47	5185.68	5241.19	4830	Pts"
"03/05/2006 00:00	5260.57	5267.51	5193.94	5193.94	5347	Pts"
"04/05/2006 00:00	5198.12	5241.49	5187.72	5233.7	4643	Pts"
"05/05/2006 00:00	5244.21	5287.24	5237.52	5286.4	4678	Pts"
"08/05/2006 00:00	5297.5	5315.03	5277.31	5282.4	3836	Pts"
"09/05/2006 00:00	5292.29	5312.18	5272.82	5312.18	4538	Pts"
