date;clot
23/01/2006;74.05
24/01/2006;73.2
25/01/2006;73.1
26/01/2006;74.45
27/01/2006;75.25
30/01/2006;74.1
31/01/2006;74.25
01/02/2006;75.5
02/02/2006;75.2
03/02/2006;75.35
06/02/2006;75.25
07/02/2006;74.5
08/02/2006;74.4
09/02/2006;75.5
10/02/2006;75.3
13/02/2006;75.4
14/02/2006;75.05
15/02/2006;75.15
16/02/2006;75.15
17/02/2006;74.9
20/02/2006;74.1
21/02/2006;75.05
22/02/2006;76.7
23/02/2006;77.2
24/02/2006;76.85
27/02/2006;77.2
28/02/2006;76.25
01/03/2006;76.55
02/03/2006;79.35
03/03/2006;80.6
06/03/2006;80.2
07/03/2006;79.55
08/03/2006;78.35
09/03/2006;79.25
10/03/2006;80.4
13/03/2006;81.15
14/03/2006;81
15/03/2006;80.8
16/03/2006;81.15
17/03/2006;81.3
20/03/2006;81.45
21/03/2006;81.05
22/03/2006;81.05
23/03/2006;80.9
24/03/2006;81.1
27/03/2006;80.6
28/03/2006;80.55
29/03/2006;80.85
30/03/2006;81.3
31/03/2006;80.9
03/04/2006;81.55
04/04/2006;81.25
05/04/2006;81.5
06/04/2006;80.7
07/04/2006;79.9
10/04/2006;80.05
11/04/2006;78.8
12/04/2006;79.05
13/04/2006;78.95
18/04/2006;79.5
19/04/2006;81.85
20/04/2006;83.6
21/04/2006;84.4
24/04/2006;84.4
25/04/2006;84.9
26/04/2006;85.3
27/04/2006;84.75
28/04/2006;83.45
02/05/2006;84.35
03/05/2006;83.55
04/05/2006;83.85
05/05/2006;84.9
08/05/2006;85.55
09/05/2006;84.85
10/05/2006;83.7
11/05/2006;84.05
12/05/2006;82.05
15/05/2006;79.85
16/05/2006;78.95
17/05/2006;75.65
18/05/2006;77.15
19/05/2006;78.4
22/05/2006;74.8
23/05/2006;77.45
24/05/2006;74.6
25/05/2006;76.4
26/05/2006;78.6
29/05/2006;78.2
30/05/2006;76.25
31/05/2006;76.7
01/06/2006;76.5
02/06/2006;77.5
05/06/2006;76.2
06/06/2006;73.9
07/06/2006;74.2
08/06/2006;71.35
09/06/2006;73.4
12/06/2006;71.75
13/06/2006;69.6
14/06/2006;70.5
15/06/2006;2006.25
16/06/2006;72.5
19/06/2006;73.35
20/06/2006;74.15
21/06/2006;74.35
22/06/2006;73.85
23/06/2006;74.1
26/06/2006;74.2
27/06/2006;74.1
28/06/2006;74.05
29/06/2006;75.3
30/06/2006;77.6
03/07/2006;77.85
04/07/2006;77.55
05/07/2006;76.1
06/07/2006;76.8
07/07/2006;76.3
10/07/2006;77.4
11/07/2006;75.9
12/07/2006;76.25
13/07/2006;74.75
14/07/2006;72.1
17/07/2006;71.35
18/07/2006;71.6
19/07/2006;74.05
20/07/2006;74.15
21/07/2006;73.45
24/07/2006;75.35
25/07/2006;76.7
26/07/2006;77.55
27/07/2006;78.75
28/07/2006;78.95
31/07/2006;78.65
01/08/2006;77.55
02/08/2006;78.85
03/08/2006;78.25
04/08/2006;79.05
07/08/2006;76.95
08/08/2006;77
09/08/2006;77
10/08/2006;75.2
11/08/2006;74.75
14/08/2006;74.75
15/08/2006;75.9
16/08/2006;76.6
17/08/2006;77.8
18/08/2006;78.3
21/08/2006;77.55
22/08/2006;78.25
23/08/2006;77.45
24/08/2006;77.35
25/08/2006;77.95
28/08/2006;78.35
29/08/2006;79.2
30/08/2006;80.7
31/08/2006;80.35
01/09/2006;80.15
04/09/2006;81.3
05/09/2006;80.9
06/09/2006;80.4
07/09/2006;77.75
08/09/2006;77.9
11/09/2006;77.8
12/09/2006;78.55
13/09/2006;78.95
14/09/2006;78.7
15/09/2006;78.65
18/09/2006;78.95
19/09/2006;78.4
20/09/2006;79.45
21/09/2006;80.25
22/09/2006;79.55
25/09/2006;78.8
26/09/2006;80.15
27/09/2006;81
28/09/2006;80.8
29/09/2006;81.25
02/10/2006;80.65
03/10/2006;80.75
04/10/2006;80.3
05/10/2006;81.75
06/10/2006;81.8
09/10/2006;80.85
10/10/2006;81.25
11/10/2006;82
12/10/2006;82.3
13/10/2006;82.9
16/10/2006;82.65
17/10/2006;80.65
18/10/2006;81.55
19/10/2006;81.85
20/10/2006;81.65
23/10/2006;82.25
24/10/2006;81.95
25/10/2006;83
26/10/2006;82.85
27/10/2006;82.25
30/10/2006;81.5
31/10/2006;81.65
01/11/2006;81.5
02/11/2006;79.7
03/11/2006;80.15
06/11/2006;81
07/11/2006;82.9
08/11/2006;82
09/11/2006;81.85
10/11/2006;81.3
13/11/2006;82.95
14/11/2006;83.1
15/11/2006;83.65
16/11/2006;83.75
17/11/2006;83.9
20/11/2006;84.05
21/11/2006;84.35
22/11/2006;83.85
23/11/2006;83.1
24/11/2006;81.9
27/11/2006;79.55
28/11/2006;79.5
29/11/2006;80.25
30/11/2006;78.3
01/12/2006;76.15
04/12/2006;76.7
05/12/2006;77.55
06/12/2006;77.2
07/12/2006;77.3
08/12/2006;77.25
11/12/2006;78.4
12/12/2006;78.25
13/12/2006;79.2
14/12/2006;79.55
15/12/2006;80.2
18/12/2006;79.8
19/12/2006;79.2
20/12/2006;80.1
21/12/2006;79.25
22/12/2006;78.15
27/12/2006;80.35
28/12/2006;80
29/12/2006;79.95
02/01/2007;80.65
03/01/2007;79.4
04/01/2007;79.45
05/01/2007;78.6
08/01/2007;78.45
09/01/2007;77.8
10/01/2007;78.55
11/01/2007;79.6
12/01/2007;78.8
15/01/2007;78.95
16/01/2007;77.65
17/01/2007;78.55
18/01/2007;78.85
19/01/2007;79.1
22/01/2007;78.55
23/01/2007;77.9
24/01/2007;78.1
25/01/2007;78.55
26/01/2007;77.9
29/01/2007;79.1
30/01/2007;81.5
31/01/2007;80.9
01/02/2007;81.15
02/02/2007;81.15
05/02/2007;80.65
06/02/2007;80.75
07/02/2007;81.3
08/02/2007;81.7
09/02/2007;82.8
12/02/2007;81.8
13/02/2007;82
14/02/2007;82.85
15/02/2007;87.7
16/02/2007;87.25
